Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,3/30/2023,4:05,Queretaro,Cruz Azul,2,2,D
Mexico,Liga MX,2022/2023,3/25/2023,3:05,Mazatlan FC,Club Leon,1,2,A
Mexico,Liga MX,2022/2023,3/20/2023,1:05,Queretaro,Juarez,2,2,D
Mexico,Liga MX,2022/2023,3/20/2023,3:05,Club Leon,Santos Laguna,4,1,H
Mexico,Liga MX,2022/2023,3/19/2023,1:05,U.A.N.L.- Tigres,Monterrey,0,1,A
Mexico,Liga MX,2022/2023,3/19/2023,3:10,Guadalajara Chivas,Club America,2,4,A
Mexico,Liga MX,2022/2023,3/19/2023,18:00,U.N.A.M.- Pumas,Pachuca,0,2,A
Mexico,Liga MX,2022/2023,3/18/2023,1:00,Puebla,Atlas,0,4,A
Mexico,Liga MX,2022/2023,3/18/2023,3:05,Club Tijuana,Toluca,3,3,D
Mexico,Liga MX,2022/2023,3/18/2023,3:10,Mazatlan FC,Necaxa,0,1,A
Mexico,Liga MX,2022/2023,3/18/2023,23:00,Cruz Azul,Atl. San Luis,1,0,H
Mexico,Liga MX,2022/2023,3/13/2023,1:05,Pachuca,Monterrey,1,2,A
Mexico,Liga MX,2022/2023,3/13/2023,1:05,Santos Laguna,Club Tijuana,3,2,H
Mexico,Liga MX,2022/2023,3/13/2023,3:15,Juarez,Necaxa,1,1,D
Mexico,Liga MX,2022/2023,3/12/2023,1:05,Cruz Azul,U.N.A.M.- Pumas,1,0,H
Mexico,Liga MX,2022/2023,3/12/2023,3:10,U.A.N.L.- Tigres,Club America,0,2,A
Mexico,Liga MX,2022/2023,3/12/2023,18:00,Toluca,Mazatlan FC,4,1,H
Mexico,Liga MX,2022/2023,3/11/2023,1:05,Atl. San Luis,Queretaro,2,0,H
Mexico,Liga MX,2022/2023,3/11/2023,3:05,Puebla,Guadalajara Chivas,1,0,H
Mexico,Liga MX,2022/2023,3/11/2023,23:00,Atlas,Club Leon,0,1,A
Mexico,Liga MX,2022/2023,3/6/2023,1:05,Queretaro,Toluca,1,0,H
Mexico,Liga MX,2022/2023,3/5/2023,1:05,Club America,Pachuca,0,3,A
Mexico,Liga MX,2022/2023,3/5/2023,1:10,Monterrey,Juarez,3,0,H
Mexico,Liga MX,2022/2023,3/5/2023,3:05,Guadalajara Chivas,Santos Laguna,2,0,H
Mexico,Liga MX,2022/2023,3/5/2023,18:00,U.N.A.M.- Pumas,Puebla,2,4,A
Mexico,Liga MX,2022/2023,3/4/2023,1:05,Mazatlan FC,Cruz Azul,3,1,H
Mexico,Liga MX,2022/2023,3/4/2023,1:05,Necaxa,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2022/2023,3/4/2023,3:15,Club Tijuana,Atlas,1,1,D
Mexico,Liga MX,2022/2023,3/4/2023,23:00,Club Leon,Atl. San Luis,2,0,H
Mexico,Liga MX,2022/2023,2/28/2023,3:10,Club Leon,Monterrey,1,1,D
Mexico,Liga MX,2022/2023,2/27/2023,1:05,Santos Laguna,Puebla,3,2,H
Mexico,Liga MX,2022/2023,2/27/2023,3:05,Club Tijuana,Pachuca,2,0,H
Mexico,Liga MX,2022/2023,2/26/2023,1:05,U.A.N.L.- Tigres,Guadalajara Chivas,1,2,A
Mexico,Liga MX,2022/2023,2/26/2023,3:05,Atlas,Club America,2,2,D
Mexico,Liga MX,2022/2023,2/26/2023,18:00,Toluca,Atl. San Luis,2,0,H
Mexico,Liga MX,2022/2023,2/25/2023,1:05,Necaxa,Queretaro,1,1,D
Mexico,Liga MX,2022/2023,2/25/2023,3:10,Mazatlan FC,U.N.A.M.- Pumas,1,2,A
Mexico,Liga MX,2022/2023,2/25/2023,23:00,Cruz Azul,Juarez,1,0,H
Mexico,Liga MX,2022/2023,2/24/2023,2:05,Santos Laguna,Toluca,0,5,A
Mexico,Liga MX,2022/2023,2/23/2023,2:05,Cruz Azul,Atlas,1,0,H
Mexico,Liga MX,2022/2023,2/20/2023,1:05,Club America,Club Tijuana,2,1,H
