Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,8/8/2022,2:05,Club America,Juarez,2,1,H
Mexico,Liga MX,2022/2023,8/7/2022,1:05,Monterrey,Club Leon,5,1,H
Mexico,Liga MX,2022/2023,8/7/2022,3:05,Santos Laguna,Cruz Azul,4,0,H
Mexico,Liga MX,2022/2023,8/7/2022,18:00,Toluca,Club Tijuana,3,1,H
Mexico,Liga MX,2022/2023,8/7/2022,22:00,Atl. San Luis,Necaxa,1,2,A
Mexico,Liga MX,2022/2023,8/6/2022,3:05,Mazatlan FC,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2022/2023,8/5/2022,3:00,Atlas,Queretaro,3,1,H
Mexico,Liga MX,2022/2023,8/4/2022,2:00,Juarez,Atl. San Luis,1,1,D
Mexico,Liga MX,2022/2023,8/3/2022,2:00,Toluca,Puebla,1,1,D
Mexico,Liga MX,2022/2023,8/1/2022,1:05,Santos Laguna,Atlas,1,0,H
Mexico,Liga MX,2022/2023,8/1/2022,3:05,Club Leon,Club America,3,2,H
Mexico,Liga MX,2022/2023,7/31/2022,1:05,U.A.N.L.- Tigres,Queretaro,2,1,H
Mexico,Liga MX,2022/2023,7/31/2022,3:05,Club Tijuana,Mazatlan FC,2,0,H
Mexico,Liga MX,2022/2023,7/31/2022,3:05,Guadalajara Chivas,Pachuca,0,0,D
Mexico,Liga MX,2022/2023,7/31/2022,3:05,Puebla,Atl. San Luis,0,0,D
Mexico,Liga MX,2022/2023,7/31/2022,18:00,U.N.A.M.- Pumas,Monterrey,1,1,D
Mexico,Liga MX,2022/2023,7/30/2022,3:05,Juarez,Toluca,1,1,D
Mexico,Liga MX,2022/2023,7/30/2022,23:00,Cruz Azul,Necaxa,1,0,H
Mexico,Liga MX,2022/2023,7/28/2022,1:00,Necaxa,Pachuca,2,0,H
Mexico,Liga MX,2022/2023,7/28/2022,1:00,Queretaro,Guadalajara Chivas,2,2,D
Mexico,Liga MX,2022/2023,7/28/2022,3:05,U.N.A.M.- Pumas,Mazatlan FC,1,1,D
Mexico,Liga MX,2022/2023,7/27/2022,1:00,Atlas,Club Tijuana,1,2,A
Mexico,Liga MX,2022/2023,7/27/2022,1:00,Juarez,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2022/2023,7/27/2022,1:00,Monterrey,Puebla,1,0,H
Mexico,Liga MX,2022/2023,7/27/2022,3:05,Atl. San Luis,Cruz Azul,0,0,D
Mexico,Liga MX,2022/2023,7/27/2022,3:05,Club Leon,Toluca,0,1,A
Mexico,Liga MX,2022/2023,7/25/2022,1:00,Pachuca,U.N.A.M.- Pumas,0,0,D
Mexico,Liga MX,2022/2023,7/24/2022,1:05,Cruz Azul,Puebla,2,2,D
Mexico,Liga MX,2022/2023,7/24/2022,2:05,Club Tijuana,Club America,2,0,H
Mexico,Liga MX,2022/2023,7/24/2022,3:05,U.A.N.L.- Tigres,Atlas,2,0,H
Mexico,Liga MX,2022/2023,7/23/2022,1:00,Mazatlan FC,Atl. San Luis,1,1,D
Mexico,Liga MX,2022/2023,7/23/2022,3:05,Necaxa,Juarez,1,0,H
Mexico,Liga MX,2022/2023,7/23/2022,23:00,Toluca,Santos Laguna,2,1,H
Mexico,Liga MX,2022/2023,7/22/2022,3:00,Queretaro,Monterrey,0,3,A
Mexico,Liga MX,2022/2023,7/21/2022,3:05,Guadalajara Chivas,Club Leon,0,0,D
Mexico,Liga MX,2022/2023,7/19/2022,1:00,Pachuca,Mazatlan FC,1,1,D
Mexico,Liga MX,2022/2023,7/18/2022,1:00,U.A.N.L.- Tigres,Club Tijuana,1,0,H
Mexico,Liga MX,2022/2023,7/17/2022,1:05,Santos Laguna,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2022/2023,7/17/2022,18:00,U.N.A.M.- Pumas,Necaxa,1,0,H
Mexico,Liga MX,2022/2023,7/17/2022,23:00,Atl. San Luis,Monterrey,0,1,A
Mexico,Liga MX,2022/2023,7/16/2022,1:00,Puebla,Club Leon,1,1,D
Mexico,Liga MX,2022/2023,7/16/2022,3:05,Juarez,Queretaro,1,1,D
Mexico,Liga MX,2022/2023,7/16/2022,23:00,Atlas,Cruz Azul,3,2,H
Mexico,Liga MX,2022/2023,7/14/2022,3:00,Club America,Toluca,1,0,H
Mexico,Liga MX,2022/2023,7/10/2022,1:00,Club Leon,U.N.A.M.- Pumas,3,3,D
Mexico,Liga MX,2022/2023,7/10/2022,1:05,Guadalajara Chivas,Atl. San Luis,0,1,A
Mexico,Liga MX,2022/2023,7/10/2022,3:05,Cruz Azul,Pachuca,1,2,A
Mexico,Liga MX,2022/2023,7/10/2022,3:05,Monterrey,Club America,3,2,H
Mexico,Liga MX,2022/2023,7/10/2022,18:00,Toluca,Atlas,3,2,H
Mexico,Liga MX,2022/2023,7/10/2022,23:00,Queretaro,Necaxa,1,2,A
Mexico,Liga MX,2022/2023,7/9/2022,1:00,Mazatlan FC,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2022/2023,7/9/2022,3:05,Club Tijuana,Juarez,0,2,A
Mexico,Liga MX,2022/2023,7/9/2022,3:05,Puebla,Santos Laguna,1,0,H
Mexico,Liga MX,2022/2023,7/5/2022,3:00,Pachuca,Queretaro,2,0,H
Mexico,Liga MX,2022/2023,7/4/2022,1:05,Santos Laguna,Monterrey,4,3,H
Mexico,Liga MX,2022/2023,7/3/2022,1:05,U.A.N.L.- Tigres,Cruz Azul,2,3,A
Mexico,Liga MX,2022/2023,7/3/2022,3:05,Club America,Atlas,0,0,D
Mexico,Liga MX,2022/2023,7/3/2022,18:00,U.N.A.M.- Pumas,Club Tijuana,1,1,D
Mexico,Liga MX,2022/2023,7/3/2022,23:00,Atl. San Luis,Club Leon,1,2,A
Mexico,Liga MX,2022/2023,7/2/2022,3:05,Mazatlan FC,Puebla,2,4,A
Mexico,Liga MX,2022/2023,7/2/2022,23:00,Guadalajara Chivas,Juarez,0,0,D
Mexico,Liga MX,2022/2023,7/2/2022,23:00,Necaxa,Toluca,1,3,A
Mexico,Liga MX,2021/2022,5/30/2022,2:10,Pachuca,Atlas,2,1,H
Mexico,Liga MX,2021/2022,5/27/2022,3:00,Atlas,Pachuca,2,0,H
Mexico,Liga MX,2021/2022,5/23/2022,2:06,Pachuca,Club America,3,0,H
Mexico,Liga MX,2021/2022,5/22/2022,2:00,U.A.N.L.- Tigres,Atlas,4,2,H
Mexico,Liga MX,2021/2022,5/20/2022,2:00,Club America,Pachuca,1,1,D
Mexico,Liga MX,2021/2022,5/19/2022,3:00,Atlas,U.A.N.L.- Tigres,3,0,H
Mexico,Liga MX,2021/2022,5/16/2022,0:00,Atlas,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2021/2022,5/16/2022,2:05,U.A.N.L.- Tigres,Cruz Azul,0,1,A
Mexico,Liga MX,2021/2022,5/15/2022,0:00,Club America,Puebla,3,2,H
Mexico,Liga MX,2021/2022,5/15/2022,2:05,Pachuca,Atl. San Luis,3,2,H
Mexico,Liga MX,2021/2022,5/13/2022,1:00,Cruz Azul,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2021/2022,5/13/2022,3:05,Guadalajara Chivas,Atlas,1,2,A
Mexico,Liga MX,2021/2022,5/12/2022,1:00,Atl. San Luis,Pachuca,2,2,D
Mexico,Liga MX,2021/2022,5/12/2022,3:05,Puebla,Club America,1,1,D
Mexico,Liga MX,2021/2022,5/9/2022,1:15,Guadalajara Chivas,U.N.A.M.- Pumas,4,1,H
Mexico,Liga MX,2021/2022,5/8/2022,2:06,Monterrey,Atl. San Luis,2,2,D
Mexico,Liga MX,2021/2022,5/8/2022,23:00,Puebla,Mazatlan FC,2,2,D
Mexico,Liga MX,2021/2022,5/7/2022,23:45,Cruz Azul,Necaxa,1,1,D
Mexico,Liga MX,2021/2022,5/2/2022,2:06,Club Leon,Toluca,4,4,D
Mexico,Liga MX,2021/2022,5/1/2022,1:00,Atlas,U.A.N.L.- Tigres,1,1,D
Mexico,Liga MX,2021/2022,5/1/2022,1:06,Monterrey,Club Tijuana,2,0,H
Mexico,Liga MX,2021/2022,5/1/2022,3:00,Club America,Cruz Azul,0,0,D
Mexico,Liga MX,2021/2022,5/1/2022,18:00,U.N.A.M.- Pumas,Pachuca,2,0,H
Mexico,Liga MX,2021/2022,5/1/2022,22:00,Atl. San Luis,Santos Laguna,1,3,A
Mexico,Liga MX,2021/2022,4/30/2022,1:00,Necaxa,Guadalajara Chivas,0,1,A
Mexico,Liga MX,2021/2022,4/30/2022,3:05,Mazatlan FC,Puebla,2,1,H
Mexico,Liga MX,2021/2022,4/30/2022,23:00,Queretaro,Juarez,4,0,H
Mexico,Liga MX,2021/2022,4/25/2022,1:00,Santos Laguna,Club Leon,1,1,D
Mexico,Liga MX,2021/2022,4/25/2022,3:06,Club Tijuana,Queretaro,2,2,D
Mexico,Liga MX,2021/2022,4/24/2022,1:00,U.A.N.L.- Tigres,Club America,0,2,A
Mexico,Liga MX,2021/2022,4/24/2022,3:00,Guadalajara Chivas,U.N.A.M.- Pumas,3,1,H
Mexico,Liga MX,2021/2022,4/24/2022,18:00,Toluca,Atlas,2,4,A
Mexico,Liga MX,2021/2022,4/24/2022,23:00,Cruz Azul,Atl. San Luis,0,1,A
Mexico,Liga MX,2021/2022,4/23/2022,1:00,Puebla,Necaxa,0,1,A
Mexico,Liga MX,2021/2022,4/23/2022,3:00,Juarez,Mazatlan FC,0,2,A
Mexico,Liga MX,2021/2022,4/23/2022,23:00,Pachuca,Monterrey,3,0,H
Mexico,Liga MX,2021/2022,4/22/2022,3:00,Queretaro,Cruz Azul,0,1,A
Mexico,Liga MX,2021/2022,4/21/2022,1:00,Atl. San Luis,U.N.A.M.- Pumas,2,0,H
Mexico,Liga MX,2021/2022,4/21/2022,3:00,Club America,Club Leon,2,0,H
Mexico,Liga MX,2021/2022,4/21/2022,3:06,Monterrey,Atlas,0,0,D
Mexico,Liga MX,2021/2022,4/20/2022,1:00,Necaxa,U.A.N.L.- Tigres,2,0,H
Mexico,Liga MX,2021/2022,4/20/2022,1:00,Pachuca,Puebla,1,0,H
Mexico,Liga MX,2021/2022,4/20/2022,3:00,Guadalajara Chivas,Club Tijuana,2,1,H
Mexico,Liga MX,2021/2022,4/20/2022,3:00,Mazatlan FC,Santos Laguna,1,0,H
Mexico,Liga MX,2021/2022,4/20/2022,3:00,Toluca,Juarez,0,1,A
Mexico,Liga MX,2021/2022,4/17/2022,1:00,Santos Laguna,Queretaro,1,1,D
Mexico,Liga MX,2021/2022,4/17/2022,1:00,U.A.N.L.- Tigres,Toluca,3,0,H
Mexico,Liga MX,2021/2022,4/17/2022,3:00,Cruz Azul,Guadalajara Chivas,0,1,A
Mexico,Liga MX,2021/2022,4/17/2022,18:00,U.N.A.M.- Pumas,Monterrey,2,0,H
Mexico,Liga MX,2021/2022,4/16/2022,1:00,Necaxa,Atl. San Luis,4,2,H
Mexico,Liga MX,2021/2022,4/16/2022,3:00,Juarez,Pachuca,1,2,A
Mexico,Liga MX,2021/2022,4/16/2022,3:06,Club Tijuana,Club America,1,3,A
Mexico,Liga MX,2021/2022,4/16/2022,23:00,Club Leon,Puebla,0,1,A
Mexico,Liga MX,2021/2022,4/15/2022,3:00,Atlas,Mazatlan FC,1,2,A
Mexico,Liga MX,2021/2022,4/14/2022,2:05,Guadalajara Chivas,Monterrey,1,3,A
Mexico,Liga MX,2021/2022,4/12/2022,3:00,Pachuca,Club Tijuana,0,0,D
Mexico,Liga MX,2021/2022,4/11/2022,1:00,Queretaro,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2021/2022,4/10/2022,1:00,Toluca,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2021/2022,4/10/2022,1:06,Monterrey,Santos Laguna,1,0,H
Mexico,Liga MX,2021/2022,4/10/2022,3:00,Club America,Juarez,3,0,H
Mexico,Liga MX,2021/2022,4/9/2022,1:00,Puebla,U.N.A.M.- Pumas,2,2,D
Mexico,Liga MX,2021/2022,4/9/2022,3:00,Mazatlan FC,Cruz Azul,1,1,D
Mexico,Liga MX,2021/2022,4/9/2022,23:00,Atl. San Luis,Club Leon,2,0,H
Mexico,Liga MX,2021/2022,4/8/2022,3:00,Atlas,Necaxa,2,1,H
Mexico,Liga MX,2021/2022,4/8/2022,1:00,Pachuca,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2021/2022,4/7/2022,1:00,Toluca,Monterrey,2,2,D
Mexico,Liga MX,2021/2022,4/7/2022,3:06,Club Tijuana,Atl. San Luis,1,1,D
Mexico,Liga MX,2021/2022,4/4/2022,1:00,Santos Laguna,Pachuca,3,1,H
Mexico,Liga MX,2021/2022,4/4/2022,1:00,U.A.N.L.- Tigres,Club Tijuana,2,0,H
Mexico,Liga MX,2021/2022,4/3/2022,0:00,Cruz Azul,Atlas,1,0,H
Mexico,Liga MX,2021/2022,4/3/2022,2:00,Necaxa,Club America,0,1,A
Mexico,Liga MX,2021/2022,4/3/2022,4:00,Juarez,U.N.A.M.- Pumas,0,1,A
Mexico,Liga MX,2021/2022,4/3/2022,18:00,Toluca,Puebla,2,1,H
Mexico,Liga MX,2021/2022,4/3/2022,23:00,Club Leon,Queretaro,1,1,D
Mexico,Liga MX,2021/2022,4/2/2022,3:00,Atl. San Luis,Mazatlan FC,1,0,H
Mexico,Liga MX,2021/2022,3/26/2022,23:00,U.N.A.M.- Pumas,Mazatlan FC,1,1,D
Mexico,Liga MX,2021/2022,3/21/2022,1:00,Atlas,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2021/2022,3/21/2022,3:00,Mazatlan FC,Club Leon,1,2,A
Mexico,Liga MX,2021/2022,3/21/2022,3:06,Club Tijuana,Juarez,1,0,H
Mexico,Liga MX,2021/2022,3/20/2022,1:00,U.A.N.L.- Tigres,Monterrey,2,0,H
Mexico,Liga MX,2021/2022,3/20/2022,3:00,Pachuca,Cruz Azul,1,0,H
Mexico,Liga MX,2021/2022,3/20/2022,23:00,Club America,Toluca,3,0,H
Mexico,Liga MX,2021/2022,3/19/2022,3:00,Puebla,Santos Laguna,2,2,D
Mexico,Liga MX,2021/2022,3/19/2022,23:00,U.N.A.M.- Pumas,Necaxa,1,3,A
Mexico,Liga MX,2021/2022,3/18/2022,3:05,Queretaro,Atl. San Luis,2,1,H
Mexico,Liga MX,2021/2022,3/16/2022,3:06,Monterrey,Juarez,3,0,H
Mexico,Liga MX,2021/2022,3/14/2022,1:00,Santos Laguna,Club Tijuana,4,0,H
Mexico,Liga MX,2021/2022,3/13/2022,1:00,Cruz Azul,U.N.A.M.- Pumas,2,1,H
Mexico,Liga MX,2021/2022,3/13/2022,3:00,Guadalajara Chivas,Club America,0,0,D
Mexico,Liga MX,2021/2022,3/13/2022,18:00,Toluca,Pachuca,0,3,A
Mexico,Liga MX,2021/2022,3/13/2022,23:00,Atl. San Luis,Puebla,2,1,H
Mexico,Liga MX,2021/2022,3/12/2022,1:00,Necaxa,Queretaro,1,0,H
Mexico,Liga MX,2021/2022,3/12/2022,3:00,Juarez,Atlas,1,2,A
Mexico,Liga MX,2021/2022,3/12/2022,3:06,Monterrey,Mazatlan FC,2,1,H
Mexico,Liga MX,2021/2022,3/12/2022,23:00,Club Leon,U.A.N.L.- Tigres,0,3,A
Mexico,Liga MX,2021/2022,3/6/2022,1:06,Monterrey,Club America,2,1,H
Mexico,Liga MX,2021/2022,3/6/2022,3:00,Cruz Azul,Puebla,1,3,A
Mexico,Liga MX,2021/2022,3/6/2022,3:00,Guadalajara Chivas,Santos Laguna,1,0,H
Mexico,Liga MX,2021/2022,3/5/2022,1:00,Necaxa,Toluca,0,1,A
Mexico,Liga MX,2021/2022,3/5/2022,3:00,Juarez,Club Leon,0,1,A
Mexico,Liga MX,2021/2022,3/5/2022,23:00,Queretaro,Atlas,0,3,A
Mexico,Liga MX,2021/2022,3/3/2022,1:00,Atlas,Pachuca,0,1,A
Mexico,Liga MX,2021/2022,3/3/2022,1:00,U.A.N.L.- Tigres,Cruz Azul,2,2,D
Mexico,Liga MX,2021/2022,3/3/2022,3:00,Atl. San Luis,Guadalajara Chivas,2,2,D
Mexico,Liga MX,2021/2022,3/3/2022,3:00,Santos Laguna,U.N.A.M.- Pumas,3,2,H
Mexico,Liga MX,2021/2022,3/2/2022,1:00,Puebla,Juarez,1,1,D
Mexico,Liga MX,2021/2022,3/2/2022,1:00,Toluca,Club Tijuana,1,2,A
Mexico,Liga MX,2021/2022,3/2/2022,3:00,Club America,Queretaro,1,1,D
Mexico,Liga MX,2021/2022,3/2/2022,3:00,Club Leon,Monterrey,0,0,D
Mexico,Liga MX,2021/2022,3/2/2022,3:00,Mazatlan FC,Necaxa,0,0,D
Mexico,Liga MX,2021/2022,2/28/2022,1:00,Cruz Azul,Santos Laguna,1,2,A
Mexico,Liga MX,2021/2022,2/27/2022,1:00,Guadalajara Chivas,Puebla,2,3,A
Mexico,Liga MX,2021/2022,2/27/2022,3:00,U.N.A.M.- Pumas,Club America,0,0,D
Mexico,Liga MX,2021/2022,2/26/2022,1:00,Necaxa,Club Leon,0,1,A
Mexico,Liga MX,2021/2022,2/26/2022,3:00,Juarez,U.A.N.L.- Tigres,2,3,A
Mexico,Liga MX,2021/2022,2/26/2022,3:06,Club Tijuana,Atlas,2,0,H
Mexico,Liga MX,2021/2022,2/26/2022,23:06,Monterrey,Atl. San Luis,0,2,A
Mexico,Liga MX,2021/2022,2/25/2022,1:00,Pachuca,Mazatlan FC,3,1,H
Mexico,Liga MX,2021/2022,2/25/2022,3:05,Queretaro,Toluca,1,1,D
Mexico,Liga MX,2021/2022,2/21/2022,0:05,Toluca,Cruz Azul,1,4,A
Mexico,Liga MX,2021/2022,2/21/2022,2:05,Atlas,U.N.A.M.- Pumas,0,0,D
Mexico,Liga MX,2021/2022,2/20/2022,1:00,U.A.N.L.- Tigres,Atl. San Luis,2,1,H
Mexico,Liga MX,2021/2022,2/20/2022,3:00,Club Leon,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2021/2022,2/20/2022,22:00,Club America,Pachuca,1,3,A
Mexico,Liga MX,2021/2022,2/19/2022,1:00,Puebla,Monterrey,1,0,H
Mexico,Liga MX,2021/2022,2/19/2022,3:00,Juarez,Santos Laguna,0,0,D
Mexico,Liga MX,2021/2022,2/19/2022,3:06,Club Tijuana,Necaxa,1,1,D
Mexico,Liga MX,2021/2022,2/19/2022,23:00,Queretaro,Mazatlan FC,2,0,H
Mexico,Liga MX,2021/2022,2/17/2022,1:00,Mazatlan FC,Club America,2,1,H
Mexico,Liga MX,2021/2022,2/15/2022,3:00,Pachuca,Queretaro,2,2,D
Mexico,Liga MX,2021/2022,2/13/2022,1:00,Cruz Azul,Necaxa,1,2,A
Mexico,Liga MX,2021/2022,2/13/2022,3:00,Santos Laguna,Club America,2,3,A
Mexico,Liga MX,2021/2022,2/13/2022,18:00,U.N.A.M.- Pumas,Club Leon,2,1,H
Mexico,Liga MX,2021/2022,2/12/2022,1:00,Mazatlan FC,Club Tijuana,2,0,H
Mexico,Liga MX,2021/2022,2/12/2022,3:00,Puebla,Atlas,1,1,D
Mexico,Liga MX,2021/2022,2/12/2022,23:00,Atl. San Luis,Toluca,0,1,A
Mexico,Liga MX,2021/2022,2/12/2022,23:00,Guadalajara Chivas,U.A.N.L.- Tigres,1,3,A
Mexico,Liga MX,2021/2022,2/10/2022,1:00,Juarez,Guadalajara Chivas,1,3,A
Mexico,Liga MX,2021/2022,2/8/2022,3:05,Club Leon,Cruz Azul,0,1,A
Mexico,Liga MX,2021/2022,2/7/2022,0:00,Atlas,Santos Laguna,2,1,H
Mexico,Liga MX,2021/2022,2/7/2022,2:00,U.A.N.L.- Tigres,Mazatlan FC,4,3,H
Mexico,Liga MX,2021/2022,2/6/2022,1:00,Club America,Atl. San Luis,2,3,A
Mexico,Liga MX,2021/2022,2/6/2022,3:06,Club Tijuana,U.N.A.M.- Pumas,1,0,H
Mexico,Liga MX,2021/2022,2/6/2022,22:00,Queretaro,Puebla,0,2,A
Mexico,Liga MX,2021/2022,2/5/2022,23:00,Necaxa,Pachuca,1,3,A
Mexico,Liga MX,2021/2022,1/29/2022,3:00,Puebla,Club Tijuana,3,1,H
Mexico,Liga MX,2021/2022,1/24/2022,1:00,Santos Laguna,Necaxa,1,4,A
Mexico,Liga MX,2021/2022,1/23/2022,1:00,Club Leon,Pachuca,2,1,H
Mexico,Liga MX,2021/2022,1/23/2022,3:00,Club America,Atlas,0,2,A
Mexico,Liga MX,2021/2022,1/23/2022,3:06,Monterrey,Cruz Azul,2,2,D
Mexico,Liga MX,2021/2022,1/23/2022,18:00,U.N.A.M.- Pumas,U.A.N.L.- Tigres,1,2,A
Mexico,Liga MX,2021/2022,1/22/2022,3:00,Mazatlan FC,Toluca,1,2,A
Mexico,Liga MX,2021/2022,1/22/2022,23:00,Guadalajara Chivas,Queretaro,1,1,D
Mexico,Liga MX,2021/2022,1/21/2022,3:00,Atl. San Luis,Juarez,0,1,A
Mexico,Liga MX,2021/2022,1/20/2022,3:00,Club Leon,Atlas,1,1,D
Mexico,Liga MX,2021/2022,1/16/2022,1:00,U.A.N.L.- Tigres,Puebla,0,2,A
Mexico,Liga MX,2021/2022,1/16/2022,3:00,Cruz Azul,Juarez,1,0,H
Mexico,Liga MX,2021/2022,1/16/2022,3:06,Club Tijuana,Club Leon,1,1,D
Mexico,Liga MX,2021/2022,1/16/2022,18:00,Toluca,Santos Laguna,3,1,H
Mexico,Liga MX,2021/2022,1/16/2022,23:00,Pachuca,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2021/2022,1/15/2022,1:00,Queretaro,U.N.A.M.- Pumas,1,3,A
Mexico,Liga MX,2021/2022,1/15/2022,3:00,Necaxa,Monterrey,0,4,A
Mexico,Liga MX,2021/2022,1/15/2022,23:00,Atlas,Atl. San Luis,1,0,H
Mexico,Liga MX,2021/2022,1/13/2022,2:06,Santos Laguna,U.A.N.L.- Tigres,1,1,D
Mexico,Liga MX,2021/2022,1/11/2022,3:00,U.N.A.M.- Pumas,Toluca,5,0,H
Mexico,Liga MX,2021/2022,1/10/2022,0:00,Guadalajara Chivas,Mazatlan FC,3,0,H
Mexico,Liga MX,2021/2022,1/9/2022,1:06,Monterrey,Queretaro,0,0,D
Mexico,Liga MX,2021/2022,1/9/2022,3:00,Cruz Azul,Club Tijuana,2,0,H
Mexico,Liga MX,2021/2022,1/8/2022,1:00,Juarez,Necaxa,2,1,H
Mexico,Liga MX,2021/2022,1/8/2022,3:00,Puebla,Club America,1,1,D
Mexico,Liga MX,2021/2022,1/7/2022,3:00,Atl. San Luis,Pachuca,0,2,A
Mexico,Liga MX,2021/2022,12/13/2021,2:15,Atlas,Club Leon,1,0,H
Mexico,Liga MX,2021/2022,12/10/2021,3:00,Club Leon,Atlas,3,2,H
Mexico,Liga MX,2021/2022,12/6/2021,1:00,Atlas,U.N.A.M.- Pumas,0,1,A
Mexico,Liga MX,2021/2022,12/5/2021,3:00,Club Leon,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2021/2022,12/3/2021,3:00,U.N.A.M.- Pumas,Atlas,0,1,A
Mexico,Liga MX,2021/2022,12/2/2021,3:00,U.A.N.L.- Tigres,Club Leon,2,1,H
Mexico,Liga MX,2021/2022,11/29/2021,0:00,U.A.N.L.- Tigres,Santos Laguna,1,0,H
Mexico,Liga MX,2021/2022,11/29/2021,2:05,Club Leon,Puebla,2,0,H
Mexico,Liga MX,2021/2022,11/28/2021,1:00,Club America,U.N.A.M.- Pumas,1,3,A
Mexico,Liga MX,2021/2022,11/28/2021,3:05,Atlas,Monterrey,1,1,D
Mexico,Liga MX,2021/2022,11/26/2021,1:00,Puebla,Club Leon,2,1,H
Mexico,Liga MX,2021/2022,11/26/2021,3:05,Santos Laguna,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2021/2022,11/25/2021,1:00,U.N.A.M.- Pumas,Club America,0,0,D
Mexico,Liga MX,2021/2022,11/25/2021,3:05,Monterrey,Atlas,0,0,D
Mexico,Liga MX,2021/2022,11/22/2021,1:15,Cruz Azul,Monterrey,1,4,A
Mexico,Liga MX,2021/2022,11/21/2021,1:00,Santos Laguna,Atl. San Luis,2,0,H
Mexico,Liga MX,2021/2022,11/21/2021,3:00,Puebla,Guadalajara Chivas,2,2,D
Mexico,Liga MX,2021/2022,11/21/2021,23:00,Toluca,U.N.A.M.- Pumas,1,2,A
Mexico,Liga MX,2021/2022,11/8/2021,1:06,Santos Laguna,Atl. San Luis,0,0,D
Mexico,Liga MX,2021/2022,11/7/2021,1:00,Club America,Monterrey,0,0,D
Mexico,Liga MX,2021/2022,11/7/2021,3:00,U.A.N.L.- Tigres,Juarez,3,0,H
Mexico,Liga MX,2021/2022,11/7/2021,3:06,Club Tijuana,Pachuca,3,2,H
Mexico,Liga MX,2021/2022,11/7/2021,23:00,U.N.A.M.- Pumas,Cruz Azul,4,3,H
Mexico,Liga MX,2021/2022,11/6/2021,1:00,Puebla,Toluca,1,0,H
Mexico,Liga MX,2021/2022,11/6/2021,3:00,Mazatlan FC,Guadalajara Chivas,0,1,A
Mexico,Liga MX,2021/2022,11/6/2021,23:00,Club Leon,Necaxa,3,0,H
Mexico,Liga MX,2021/2022,11/5/2021,1:00,U.N.A.M.- Pumas,Santos Laguna,0,3,A
Mexico,Liga MX,2021/2022,11/5/2021,3:00,Atlas,Queretaro,2,0,H
Mexico,Liga MX,2021/2022,11/4/2021,1:00,Pachuca,Atl. San Luis,0,0,D
Mexico,Liga MX,2021/2022,11/4/2021,3:00,Cruz Azul,Club Leon,0,1,A
Mexico,Liga MX,2021/2022,11/1/2021,1:05,Atl. San Luis,Monterrey,1,1,D
Mexico,Liga MX,2021/2022,10/31/2021,1:06,Pachuca,U.N.A.M.- Pumas,1,1,D
Mexico,Liga MX,2021/2022,10/31/2021,2:10,U.A.N.L.- Tigres,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2021/2022,10/31/2021,18:00,Toluca,Club Leon,0,0,D
Mexico,Liga MX,2021/2022,10/31/2021,23:05,Cruz Azul,Club America,2,1,H
Mexico,Liga MX,2021/2022,10/30/2021,1:00,Necaxa,Mazatlan FC,2,1,H
Mexico,Liga MX,2021/2022,10/30/2021,3:00,Juarez,Puebla,0,2,A
Mexico,Liga MX,2021/2022,10/30/2021,23:00,Queretaro,Santos Laguna,2,3,A
Mexico,Liga MX,2021/2022,10/29/2021,1:00,Atlas,Club Tijuana,0,2,A
Mexico,Liga MX,2021/2022,10/25/2021,1:00,Atl. San Luis,Atlas,2,6,A
Mexico,Liga MX,2021/2022,10/25/2021,1:06,Santos Laguna,Toluca,2,2,D
Mexico,Liga MX,2021/2022,10/25/2021,3:00,Pachuca,Juarez,1,1,D
Mexico,Liga MX,2021/2022,10/24/2021,1:00,Club America,U.A.N.L.- Tigres,1,0,H
Mexico,Liga MX,2021/2022,10/24/2021,3:00,Guadalajara Chivas,Cruz Azul,1,1,D
Mexico,Liga MX,2021/2022,10/24/2021,18:00,U.N.A.M.- Pumas,Club Tijuana,3,1,H
Mexico,Liga MX,2021/2022,10/23/2021,3:00,Mazatlan FC,Queretaro,2,1,H
Mexico,Liga MX,2021/2022,10/23/2021,23:00,Puebla,Club Leon,0,1,A
Mexico,Liga MX,2021/2022,10/23/2021,23:06,Monterrey,Necaxa,0,1,A
Mexico,Liga MX,2021/2022,10/21/2021,1:00,Club Leon,U.N.A.M.- Pumas,1,2,A
Mexico,Liga MX,2021/2022,10/21/2021,1:00,Toluca,Necaxa,1,1,D
Mexico,Liga MX,2021/2022,10/21/2021,3:00,U.A.N.L.- Tigres,Pachuca,3,0,H
