Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,07/05/2023,17:00,Giresunspor,Fenerbahce,1,1,D,0,1,A,7,11,5,4,14,14,3,11,5,2,0,0
T1,07/05/2023,18:00,Gaziantep,Karagumruk,0,3,A,,,,,,,,,,,,,,,
T1,07/05/2023,18:00,Hatayspor,Istanbulspor,0,3,A,,,,,,,,,,,,,,,
T1,06/05/2023,17:00,Antalyaspor,Besiktas,1,3,A,1,0,H,9,11,3,5,11,10,3,5,1,0,1,0
T1,06/05/2023,19:00,Ad. Demirspor,Alanyaspor,4,2,H,2,2,D,17,13,8,5,9,13,2,2,1,2,0,0
T1,01/05/2023,18:00,Istanbulspor,Giresunspor,1,0,H,1,0,H,5,20,2,6,5,12,3,4,3,2,1,0
T1,30/04/2023,17:00,Besiktas,Galatasaray,3,1,H,1,1,D,13,7,6,1,12,13,4,1,6,2,0,0
T1,30/04/2023,18:00,Buyuksehyr,Hatayspor,3,0,H,,,,,,,,,,,,,,,
T1,30/04/2023,18:00,Kayserispor,Gaziantep,3,0,H,,,,,,,,,,,,,,,
T1,29/04/2023,14:00,Karagumruk,Antalyaspor,0,1,A,0,1,A,4,8,2,2,14,10,5,5,1,0,0,0
T1,29/04/2023,14:00,Konyaspor,Trabzonspor,2,1,H,1,1,D,12,8,5,3,13,17,6,5,2,2,0,1
T1,29/04/2023,17:00,Ankaragucu,Kasimpasa,0,0,D,0,0,D,6,8,2,3,14,12,5,3,1,2,0,0
T1,29/04/2023,17:00,Sivasspor,Fenerbahce,1,3,A,0,3,A,10,7,3,4,9,19,3,1,0,4,0,1
T1,28/04/2023,18:00,Alanyaspor,Umraniyespor,1,0,H,1,0,H,8,13,4,6,11,13,4,6,0,2,0,0
T1,24/04/2023,15:00,Giresunspor,Buyuksehyr,2,4,A,0,4,A,25,14,8,6,14,20,9,1,2,3,0,0
T1,24/04/2023,18:00,Antalyaspor,Sivasspor,1,2,A,0,2,A,21,9,7,3,12,16,14,4,0,2,0,0
T1,24/04/2023,18:00,Fenerbahce,Istanbulspor,3,3,D,1,0,H,15,7,5,4,14,14,6,1,3,4,0,0
T1,23/04/2023,11:30,Kasimpasa,Konyaspor,1,2,A,1,2,A,17,13,9,6,12,12,9,4,2,1,0,0
T1,23/04/2023,14:00,Ad. Demirspor,Kayserispor,5,3,H,4,3,H,16,14,6,3,8,13,5,3,2,3,0,1
T1,23/04/2023,17:00,Galatasaray,Karagumruk,3,3,D,2,3,A,24,7,9,3,14,14,5,4,0,3,0,0
T1,23/04/2023,18:00,Gaziantep,Alanyaspor,0,3,A,,,,,,,,,,,,,,,
T1,23/04/2023,18:00,Hatayspor,Ankaragucu,0,3,A,,,,,,,,,,,,,,,
T1,22/04/2023,17:00,Umraniyespor,Besiktas,0,2,A,0,1,A,8,16,2,6,7,19,3,9,0,2,0,0
T1,20/04/2023,15:00,Ankaragucu,Giresunspor,3,1,H,0,1,A,20,3,6,0,8,6,6,2,1,2,0,0
