Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2021/2022,8/20/2021,17:00,Wisla Plock,Zaglebie,4,0,H,"2,42","3,38","3,15","2,59","3,42","3,19","2,44","3,19","2,89"
Poland,Ekstraklasa,2021/2022,8/20/2021,19:30,Radomiak Radom,Warta Poznan,1,0,H,"2,15","3,33","3,8","2,23","3,35","3,9","2,12","3,18","3,57"
Poland,Ekstraklasa,2021/2022,8/21/2021,14:00,Pogon Szczecin,Stal Mielec,4,1,H,"1,5","4,19","7,82","1,6","4,19","7,82","1,51","3,93","6,64"
Poland,Ekstraklasa,2021/2022,8/21/2021,16:30,Cracovia,Jagiellonia,2,1,H,"2,08","3,38","3,98","2,31","3,46","4,09","2,11","3,23","3,54"
Poland,Ekstraklasa,2021/2022,8/21/2021,19:00,Leczna,Wisla,1,3,A,"3,36","3,51","2,24","3,5","3,6","2,27","3,24","3,36","2,16"
Poland,Ekstraklasa,2021/2022,8/22/2021,14:00,Piast Gliwice,Slask Wroclaw,1,1,D,"1,87","3,82","4,31","1,96","3,82","4,75","1,88","3,55","3,96"
Poland,Ekstraklasa,2021/2022,8/22/2021,16:30,Lech Poznan,Lechia Gdansk,2,0,H,"1,5","4,44","7,08","1,55","4,7","7,5","1,47","4,25","6,64"
Poland,Ekstraklasa,2021/2022,8/27/2021,17:00,Stal Mielec,Leczna,2,0,H,"2,05","3,43","4,01","2,07","3,6","4,3","1,98","3,33","3,8"
Poland,Ekstraklasa,2021/2022,8/27/2021,19:30,Warta Poznan,Jagiellonia,1,1,D,"2,62","3,2",3,"2,7","3,22","3,1","2,55","3,07","2,86"
Poland,Ekstraklasa,2021/2022,8/28/2021,11:30,Termalica B-B.,Cracovia,1,2,A,"2,78","3,11","2,9","2,79","3,2","3,2","2,65","3,01","2,79"
Poland,Ekstraklasa,2021/2022,8/28/2021,14:00,Lechia Gdansk,Radomiak Radom,2,2,D,"2,31","3,41","3,31","2,51","3,42","3,33","2,33","3,19","3,09"
Poland,Ekstraklasa,2021/2022,8/28/2021,16:30,Lech Poznan,Pogon Szczecin,1,1,D,"1,92","3,46","4,58","1,95","3,6","4,6","1,88","3,32","4,29"
Poland,Ekstraklasa,2021/2022,8/28/2021,19:00,Gornik Z.,Piast Gliwice,0,1,A,"2,88","3,22","2,71","2,88","3,32","2,8","2,75","3,08","2,63"
Poland,Ekstraklasa,2021/2022,8/29/2021,11:30,Wisla Plock,Rakow,1,1,D,"3,36","3,24","2,37","3,38","3,26","2,65","3,17","3,12","2,32"
Poland,Ekstraklasa,2021/2022,8/29/2021,14:00,Zaglebie,Slask Wroclaw,1,3,A,"2,33","3,67","3,06","2,4","3,67","3,25","2,26","3,42","3,02"
Poland,Ekstraklasa,2021/2022,8/29/2021,16:30,Wisla,Legia,1,0,H,"3,21","3,44","2,35","3,23","3,45","2,4","3,08","3,3","2,28"
Poland,Ekstraklasa,2021/2022,9/11/2021,11:30,Warta Poznan,Termalica B-B.,0,0,D,"2,36","3,3","3,32","2,61","3,33","3,39","2,34","3,13","3,12"
Poland,Ekstraklasa,2021/2022,9/11/2021,14:00,Cracovia,Gornik Z.,2,2,D,"2,47","3,13","3,3","2,47","3,38","3,4","2,34","3,12","3,14"
Poland,Ekstraklasa,2021/2022,9/11/2021,16:30,Jagiellonia,Stal Mielec,1,1,D,"1,67","4,02","5,43","1,95","4,08","5,75","1,66","3,84","4,93"
Poland,Ekstraklasa,2021/2022,9/11/2021,19:00,Slask Wroclaw,Legia,1,0,H,"3,52","3,44","2,21","4,1","3,6","2,39","3,4","3,36","2,11"
Poland,Ekstraklasa,2021/2022,9/12/2021,11:30,Piast Gliwice,Zaglebie,0,1,A,"1,95","3,7","4,07","2,02","3,7","4,15","1,94","3,5","3,76"
Poland,Ekstraklasa,2021/2022,9/12/2021,14:00,Wisla,Lechia Gdansk,2,2,D,"2,06","3,7","3,65","2,1","3,81","3,65","2,03","3,55","3,43"
Poland,Ekstraklasa,2021/2022,9/12/2021,16:30,Rakow,Lech Poznan,2,2,D,"2,86","3,28","2,69","2,87","3,4","2,71","2,74","3,18","2,57"
Poland,Ekstraklasa,2021/2022,9/13/2021,17:00,Leczna,Wisla Plock,3,2,H,"3,54","3,49","2,18","3,63","3,49","2,28","3,28","3,29","2,18"
Poland,Ekstraklasa,2021/2022,9/13/2021,19:30,Radomiak Radom,Pogon Szczecin,1,1,D,"3,2","3,28","2,44","3,25","3,28","2,46","3,08","3,09","2,39"
Poland,Ekstraklasa,2021/2022,9/17/2021,17:00,Zaglebie,Termalica B-B.,2,1,H,"2,02","3,53","3,97","2,07","3,62","4,1","2,01","3,38","3,68"
