Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,22/04/2023,14:30,Bochum,Wolfsburg,1,5,A,0,3,A,23,15,6,7,11,8,10,3,3,3,0,0
D1,22/04/2023,14:30,Hertha,Werder Bremen,2,4,A,0,2,A,13,11,5,4,11,12,8,4,2,2,0,0
D1,22/04/2023,14:30,Hoffenheim,FC Koln,1,3,A,0,2,A,11,14,4,7,11,11,2,5,1,2,0,0
D1,22/04/2023,14:30,Mainz,Bayern Munich,3,1,H,0,1,A,13,11,4,2,14,6,2,7,2,0,0,0
D1,22/04/2023,17:30,Dortmund,Ein Frankfurt,4,0,H,3,0,H,14,9,7,2,10,13,5,2,2,3,0,0
D1,21/04/2023,19:30,Augsburg,Stuttgart,1,1,D,1,0,H,4,6,1,3,17,12,1,3,5,3,0,0
D1,16/04/2023,14:30,Werder Bremen,Freiburg,1,2,A,0,0,D,13,6,5,3,13,12,5,2,2,3,0,0
D1,16/04/2023,16:30,Union Berlin,Bochum,1,1,D,1,0,H,10,14,2,8,10,7,5,7,2,1,1,0
D1,16/04/2023,18:30,Wolfsburg,Leverkusen,0,0,D,0,0,D,11,13,3,4,10,17,2,6,0,5,0,0
D1,15/04/2023,14:30,Bayern Munich,Hoffenheim,1,1,D,1,0,H,22,4,7,3,7,10,13,4,2,1,0,0
D1,15/04/2023,14:30,FC Koln,Mainz,1,1,D,0,1,A,12,5,4,1,10,15,3,3,3,2,0,0
D1,15/04/2023,14:30,RB Leipzig,Augsburg,3,2,H,3,1,H,13,14,6,3,8,11,3,5,2,3,0,0
D1,15/04/2023,14:30,Stuttgart,Dortmund,3,3,D,0,2,A,12,15,5,6,7,14,5,7,5,3,1,0
D1,15/04/2023,17:30,Ein Frankfurt,M'gladbach,1,1,D,0,1,A,16,4,5,2,16,5,10,2,1,2,0,0
D1,14/04/2023,19:30,Schalke 04,Hertha,5,2,H,2,1,H,14,11,7,5,12,19,7,8,2,3,0,0
D1,09/04/2023,14:30,M'gladbach,Wolfsburg,2,0,H,1,0,H,13,9,6,2,12,11,5,8,0,1,0,0
D1,09/04/2023,16:30,Bochum,Stuttgart,2,3,A,0,1,A,11,14,5,7,12,8,7,4,3,3,0,0
D1,09/04/2023,18:30,Hoffenheim,Schalke 04,2,0,H,1,0,H,15,10,4,3,14,13,9,8,3,0,0,0
D1,08/04/2023,14:30,Augsburg,FC Koln,1,3,A,1,2,A,13,11,1,5,5,11,6,1,3,4,0,0
D1,08/04/2023,14:30,Dortmund,Union Berlin,2,1,H,1,0,H,14,7,6,2,8,11,8,0,5,2,0,0
D1,08/04/2023,14:30,Freiburg,Bayern Munich,0,1,A,0,0,D,10,23,2,8,10,14,2,6,2,2,0,0
D1,08/04/2023,14:30,Leverkusen,Ein Frankfurt,3,1,H,2,0,H,13,9,8,3,9,13,2,5,1,5,0,0
D1,08/04/2023,14:30,Mainz,Werder Bremen,2,2,D,0,0,D,16,9,10,4,11,22,1,2,1,5,0,0
D1,08/04/2023,17:30,Hertha,RB Leipzig,0,1,A,0,1,A,11,18,1,6,12,13,4,4,4,3,0,0
D1,02/04/2023,14:30,FC Koln,M'gladbach,0,0,D,0,0,D,12,8,5,2,18,8,11,1,3,3,0,0
D1,02/04/2023,16:30,Werder Bremen,Hoffenheim,1,2,A,0,0,D,12,8,5,2,11,16,1,6,3,4,0,0
D1,01/04/2023,14:30,Freiburg,Hertha,1,1,D,0,0,D,16,10,8,3,7,11,2,2,1,1,0,0
D1,01/04/2023,14:30,RB Leipzig,Mainz,0,3,A,0,1,A,12,19,3,7,13,20,3,4,3,3,0,0
D1,01/04/2023,14:30,Schalke 04,Leverkusen,0,3,A,0,0,D,12,18,3,10,20,13,7,5,2,1,0,0
D1,01/04/2023,14:30,Union Berlin,Stuttgart,3,0,H,0,0,D,13,17,5,8,11,12,3,5,1,1,0,0
D1,01/04/2023,14:30,Wolfsburg,Augsburg,2,2,D,0,2,A,23,5,5,2,9,15,4,7,3,2,0,0
D1,01/04/2023,17:30,Bayern Munich,Dortmund,4,2,H,3,0,H,16,10,9,4,11,7,6,2,1,1,0,0
D1,31/03/2023,19:30,Ein Frankfurt,Bochum,1,1,D,1,1,D,18,8,7,2,14,13,15,2,3,2,0,0
D1,19/03/2023,14:30,Union Berlin,Ein Frankfurt,2,0,H,0,0,D,14,19,3,4,19,15,3,7,3,2,0,0
D1,19/03/2023,16:30,Leverkusen,Bayern Munich,2,1,H,0,1,A,12,11,6,6,10,11,5,3,2,3,0,0
D1,19/03/2023,18:30,Mainz,Freiburg,1,1,D,0,0,D,10,11,6,5,18,10,3,5,2,3,0,0
D1,18/03/2023,14:30,Augsburg,Schalke 04,1,1,D,0,0,D,9,13,3,5,11,14,9,6,4,4,1,0
D1,18/03/2023,14:30,Bochum,RB Leipzig,1,0,H,0,0,D,8,21,2,8,10,8,2,7,2,3,0,0
D1,18/03/2023,14:30,Hoffenheim,Hertha,3,1,H,2,0,H,15,11,7,5,10,11,8,9,0,3,1,0
D1,18/03/2023,14:30,Stuttgart,Wolfsburg,0,1,A,0,0,D,12,9,2,3,10,8,3,8,1,0,0,0
D1,18/03/2023,17:30,Dortmund,FC Koln,6,1,H,4,1,H,11,11,8,5,7,10,1,6,1,0,0,0
D1,17/03/2023,19:30,M'gladbach,Werder Bremen,2,2,D,0,0,D,21,6,9,3,9,12,6,5,1,1,0,0
D1,12/03/2023,14:30,Freiburg,Hoffenheim,2,1,H,1,0,H,9,12,3,1,11,25,2,2,2,5,0,1
D1,12/03/2023,16:30,Werder Bremen,Leverkusen,2,3,A,1,1,D,12,13,6,5,12,12,2,3,2,1,0,0
D1,12/03/2023,18:30,Wolfsburg,Union Berlin,1,1,D,0,0,D,15,11,6,2,11,14,3,5,1,4,0,0
D1,11/03/2023,14:30,Bayern Munich,Augsburg,5,3,H,4,1,H,24,13,9,6,8,10,8,5,2,1,0,0
D1,11/03/2023,14:30,Ein Frankfurt,Stuttgart,1,1,D,0,0,D,10,9,1,5,16,11,3,2,4,1,0,0
D1,11/03/2023,14:30,Hertha,Mainz,1,1,D,1,0,H,9,6,4,3,10,15,7,8,2,1,0,0
D1,11/03/2023,14:30,RB Leipzig,M'gladbach,3,0,H,0,0,D,14,7,9,3,9,9,11,0,1,0,0,0
D1,11/03/2023,17:30,Schalke 04,Dortmund,2,2,D,0,1,A,10,20,5,8,16,8,3,6,1,1,0,0
D1,10/03/2023,19:30,FC Koln,Bochum,0,2,A,0,1,A,11,9,5,3,9,14,10,1,2,2,0,0
D1,05/03/2023,14:30,Leverkusen,Hertha,4,1,H,2,0,H,18,7,9,2,11,14,9,2,1,2,0,0
D1,05/03/2023,16:30,Wolfsburg,Ein Frankfurt,2,2,D,2,2,D,13,10,8,2,11,16,4,5,3,3,0,0
D1,04/03/2023,14:30,Augsburg,Werder Bremen,2,1,H,1,1,D,9,17,5,8,10,9,3,7,2,2,0,0
D1,04/03/2023,14:30,Bochum,Schalke 04,0,2,A,0,1,A,6,9,4,5,17,11,4,4,2,1,0,0
D1,04/03/2023,14:30,Mainz,Hoffenheim,1,0,H,1,0,H,16,15,6,4,12,15,11,3,1,4,0,0
D1,04/03/2023,14:30,M'gladbach,Freiburg,0,0,D,0,0,D,10,8,4,3,11,15,6,5,5,2,1,0
D1,04/03/2023,14:30,Union Berlin,FC Koln,0,0,D,0,0,D,8,12,2,4,9,10,5,4,1,0,0,0
D1,04/03/2023,17:30,Stuttgart,Bayern Munich,1,2,A,0,1,A,11,13,4,6,6,12,3,6,0,0,0,0
D1,03/03/2023,19:30,Dortmund,RB Leipzig,2,1,H,2,0,H,8,14,3,6,8,20,4,6,2,5,0,0
D1,26/02/2023,14:30,Freiburg,Leverkusen,1,1,D,1,0,H,9,16,4,4,14,13,1,3,2,1,0,0
D1,26/02/2023,16:30,Bayern Munich,Union Berlin,3,0,H,3,0,H,19,4,10,1,8,9,10,4,1,1,0,0
D1,25/02/2023,14:30,FC Koln,Wolfsburg,0,2,A,0,1,A,11,6,5,4,9,16,10,2,1,2,0,0
D1,25/02/2023,14:30,Hertha,Augsburg,2,0,H,0,0,D,11,9,3,2,16,19,1,6,1,3,0,0
D1,25/02/2023,14:30,Hoffenheim,Dortmund,0,1,A,0,1,A,13,23,4,11,11,7,12,11,3,1,0,0
D1,25/02/2023,14:30,RB Leipzig,Ein Frankfurt,2,1,H,2,0,H,10,8,5,4,11,11,2,6,2,3,0,0
D1,25/02/2023,14:30,Werder Bremen,Bochum,3,0,H,2,0,H,12,9,6,2,16,16,2,0,3,2,0,0
D1,25/02/2023,17:30,Schalke 04,Stuttgart,2,1,H,2,0,H,11,17,6,5,12,13,6,9,2,2,0,0
D1,24/02/2023,19:30,Mainz,M'gladbach,4,0,H,1,0,H,14,8,8,2,17,6,3,3,2,3,0,0
D1,19/02/2023,14:30,Union Berlin,Schalke 04,0,0,D,0,0,D,9,6,4,2,13,19,6,4,2,1,0,0
D1,19/02/2023,16:30,Dortmund,Hertha,4,1,H,2,0,H,12,15,5,8,8,15,3,4,1,2,0,0
D1,19/02/2023,18:30,Leverkusen,Mainz,2,3,A,1,2,A,17,12,7,7,14,19,4,5,5,5,1,0
D1,18/02/2023,14:30,Bochum,Freiburg,0,2,A,0,1,A,15,15,6,5,15,10,5,5,4,2,1,0
D1,18/02/2023,14:30,M'gladbach,Bayern Munich,3,2,H,1,1,D,17,13,7,4,9,9,4,0,0,1,0,1
D1,18/02/2023,14:30,Stuttgart,FC Koln,3,0,H,1,0,H,18,11,7,4,10,12,3,6,3,4,0,0
D1,18/02/2023,14:30,Wolfsburg,RB Leipzig,0,3,A,0,1,A,7,17,2,5,16,15,2,5,1,1,0,0
D1,18/02/2023,17:30,Ein Frankfurt,Werder Bremen,2,0,H,1,0,H,11,3,6,0,15,9,5,2,1,1,0,0
D1,17/02/2023,19:30,Augsburg,Hoffenheim,1,0,H,0,0,D,16,8,3,2,13,14,6,1,3,3,0,0
D1,12/02/2023,14:30,Hertha,M'gladbach,4,1,H,1,1,D,17,7,7,3,12,11,4,6,1,1,0,0
D1,12/02/2023,16:30,FC Koln,Ein Frankfurt,3,0,H,0,0,D,9,7,4,1,15,11,3,9,3,2,0,0
D1,11/02/2023,14:30,Bayern Munich,Bochum,3,0,H,1,0,H,25,7,12,1,10,12,6,3,1,1,0,0
D1,11/02/2023,14:30,Freiburg,Stuttgart,2,1,H,0,1,A,9,14,5,3,13,10,4,3,3,3,0,0
D1,11/02/2023,14:30,Hoffenheim,Leverkusen,1,3,A,0,1,A,11,12,6,5,15,9,5,8,3,1,0,0
D1,11/02/2023,14:30,Mainz,Augsburg,3,1,H,2,1,H,13,11,7,3,12,6,4,12,1,1,0,0
D1,11/02/2023,14:30,Werder Bremen,Dortmund,0,2,A,0,0,D,8,17,3,9,7,7,3,7,1,0,0,0
D1,11/02/2023,17:30,RB Leipzig,Union Berlin,1,2,A,1,0,H,9,6,1,5,15,13,3,4,4,4,0,0
D1,10/02/2023,19:30,Schalke 04,Wolfsburg,0,0,D,0,0,D,17,8,5,2,10,20,9,3,1,4,0,0
D1,05/02/2023,14:30,Stuttgart,Werder Bremen,0,2,A,0,0,D,16,9,5,4,8,17,8,4,2,5,0,0
D1,05/02/2023,16:30,Wolfsburg,Bayern Munich,2,4,A,1,3,A,19,9,5,4,10,9,7,4,2,6,0,1
D1,04/02/2023,14:30,Bochum,Hoffenheim,5,2,H,3,0,H,17,10,11,4,13,15,6,6,2,3,0,0
D1,04/02/2023,14:30,Dortmund,Freiburg,5,1,H,1,1,D,24,6,8,3,13,14,14,0,3,4,0,1
D1,04/02/2023,14:30,Ein Frankfurt,Hertha,3,0,H,2,0,H,10,13,4,3,12,10,7,1,1,2,0,0
D1,04/02/2023,14:30,FC Koln,RB Leipzig,0,0,D,0,0,D,9,7,0,2,10,15,5,1,3,4,0,0
D1,04/02/2023,14:30,Union Berlin,Mainz,2,1,H,1,0,H,9,9,5,2,12,10,5,5,1,1,0,0
D1,04/02/2023,17:30,M'gladbach,Schalke 04,0,0,D,0,0,D,17,18,4,5,9,15,9,5,2,3,0,0
D1,03/02/2023,19:30,Augsburg,Leverkusen,1,0,H,0,0,D,10,12,5,4,14,8,2,1,3,2,0,0
D1,29/01/2023,14:30,Schalke 04,FC Koln,0,0,D,0,0,D,15,7,2,0,13,16,7,7,3,4,0,0
D1,29/01/2023,16:30,Leverkusen,Dortmund,0,2,A,0,1,A,20,6,7,2,13,20,8,4,2,4,0,0
D1,28/01/2023,14:30,Freiburg,Augsburg,3,1,H,2,1,H,15,16,9,4,14,9,3,7,3,3,0,0
D1,28/01/2023,14:30,Hertha,Union Berlin,0,2,A,0,1,A,10,7,3,3,12,13,3,2,1,2,0,0
D1,28/01/2023,14:30,Hoffenheim,M'gladbach,1,4,A,0,2,A,15,10,5,5,23,10,4,3,2,1,0,0
D1,28/01/2023,14:30,Mainz,Bochum,5,2,H,3,0,H,14,14,7,4,17,11,3,2,0,1,0,0
D1,28/01/2023,14:30,Werder Bremen,Wolfsburg,2,1,H,1,0,H,14,7,5,3,16,12,2,6,3,3,0,0
D1,28/01/2023,17:30,Bayern Munich,Ein Frankfurt,1,1,D,1,0,H,14,7,6,1,6,4,7,6,3,1,0,0
D1,27/01/2023,19:30,RB Leipzig,Stuttgart,2,1,H,1,0,H,9,10,4,3,8,6,3,6,0,0,0,0
