Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
B1,11/03/2023,15:00,Mechelen,St Truiden,1,0,H,0,0,D,8,7,4,1,10,16,8,4,1,2,0,0
B1,11/03/2023,17:15,Eupen,Oostende,4,4,D,1,1,D,29,14,10,9,9,10,9,2,0,3,0,1
B1,11/03/2023,17:15,Westerlo,Kortrijk,3,1,H,1,0,H,9,19,7,6,9,10,7,7,3,2,0,0
B1,11/03/2023,19:45,Seraing,Antwerp,0,2,A,0,2,A,8,18,1,5,15,12,4,5,3,1,1,0
B1,10/03/2023,19:45,Charleroi,Oud-Heverlee Leuven,0,1,A,0,1,A,25,9,5,2,8,11,7,4,1,4,0,0
B1,05/03/2023,12:30,St Truiden,Genk,2,2,D,1,1,D,10,9,4,5,17,11,2,2,3,1,0,0
B1,05/03/2023,15:00,Antwerp,Mechelen,5,0,H,3,0,H,16,11,10,5,9,11,6,3,1,2,0,0
B1,05/03/2023,17:30,Gent,Anderlecht,1,0,H,0,0,D,14,10,5,3,8,9,4,2,1,4,0,1
B1,05/03/2023,18:15,St. Gilloise,Eupen,2,1,H,1,0,H,12,8,6,3,11,16,5,2,1,1,0,0
B1,04/03/2023,15:00,Kortrijk,Charleroi,0,1,A,0,0,D,18,11,3,6,7,12,4,2,0,4,0,0
B1,04/03/2023,17:15,Cercle Brugge,Seraing,3,1,H,2,1,H,19,3,7,2,14,11,11,3,1,1,0,0
B1,04/03/2023,17:15,Oud-Heverlee Leuven,Waregem,4,2,H,3,0,H,13,12,8,4,11,10,3,5,2,1,0,0
B1,04/03/2023,19:45,Standard,Westerlo,2,0,H,1,0,H,23,7,5,0,12,11,7,1,0,2,1,0
B1,03/03/2023,19:45,Oostende,Club Brugge,3,0,H,1,0,H,13,11,6,3,12,16,0,5,2,2,0,0
B1,26/02/2023,12:30,Club Brugge,Gent,2,0,H,0,0,D,16,6,6,2,9,10,9,3,2,0,0,0
B1,26/02/2023,15:00,Oud-Heverlee Leuven,Antwerp,1,1,D,1,0,H,9,17,4,4,9,13,3,7,1,0,0,0
B1,26/02/2023,17:30,Anderlecht,Standard,2,2,D,2,1,H,14,8,7,4,5,8,7,3,2,2,0,0
B1,26/02/2023,18:15,Charleroi,St Truiden,1,0,H,0,0,D,17,11,7,2,15,13,3,2,0,2,0,0
B1,25/02/2023,15:00,Seraing,Mechelen,0,2,A,0,1,A,7,9,0,4,11,14,4,3,2,1,0,0
B1,25/02/2023,17:15,Eupen,Cercle Brugge,2,2,D,2,2,D,7,14,3,4,10,13,4,6,1,1,1,0
B1,25/02/2023,17:15,Genk,Oostende,3,0,H,2,0,H,10,12,5,4,13,15,4,4,2,3,0,0
B1,25/02/2023,19:45,Westerlo,St. Gilloise,4,2,H,2,1,H,9,20,6,8,9,9,4,6,2,2,0,0
